"date","type","dead","injured","location","details","perpetrator","partOf"
"1","Shootings","3 (+13)","Several","Shopian district and Anantnag district, India","In three anti-terrorist operations, three members of the army and 13 terrorists were killed in the districts of Shopian and Anantnag in South Kashmir. Several others were injured in the encounters.[1][2][3]","Hizbul Mujahideen and Lashkar-e-Taiba","Insurgency in Jammu and Kashmir"
"1","Car bombing","0","1","Baghdad, Iraq","A civilian was wounded in a car bomb explosion in southwest Baghdad.[4]","Islamic State (suspected)","Iraqi insurgency"
"1","Suicide car bombings, mortar attack, shooting, arson","59 (+14)","Unknown","Bulo Marer, Somalia","2018 African Union base attack in Bulo Marer: Al-Shabaab terrorists attacked an African Union military camp in the Bulo Marer area of Lower Shebelle, where Ugandan peacekeepers are stationed, killing at least 59 people. 14 militants died in the attack.[5][6][7]","Al-Shabaab","Somali Civil War"
"1","Shooting","1","1","Quetta, Pakistan","In a targeted killing incident, one member of the Shia Hazara community was killed and another was injured when gunmen opened fire on their vehicle in Quetta's Kandahari Bazaar area.[8]","Islamic State (suspected)","War in North-West Pakistan"
"1","Shooting, arson","1","0","Limani, Cameroon","Terrorists attacked a village in the town of Limani near the border with Nigeria in northern Cameroon, killing one person and burning several huts.[9]","Boko Haram","Boko Haram insurgency"
"1","Shooting","4 (+1)","0","Necuto, Cabinda, Angola","Four soldiers and one militant were killed during a gunfight in the commune of Necuto, in the province of Cabinda, Angola. The attack was claimed in an published statement for the military wing of the FLEC.[10]","Forças Armadas de Cabinda","Cabinda conflict"
"1","Suicide bombings","0 (+2)","1","Waza, Cameroon","Boko Haram militants attacked a military post in the commune of Waza in northern Cameroon, injuring a soldier. Two suicide bombers who blew themselves up died.[11]","Boko Haram","Boko Haram insurgency"
"1","Suicide bombings, shooting, mortar attack","20","84","Jere, Nigeria","Boko Haram fighters attacked a military base and two surrounding villages near the Nigerian city of Maiduguri in the Jere Local Government Area, killing at least 20 people and wounding 84.[12][13]","Boko Haram","Boko Haram insurgency"
"2","Bombing","1","2","Al-Qa'im, Iraq","A bomb went off in the Al-Tin district in Al-Qa' im, in the west of Anbar province, killing one person and injuring two others.[14]","Islamic State","Iraqi insurgency"
"2","Bombing","0","4","Bartella, Iraq","Four children were wounded when a bomb exploded outside a medical complex in the town of Bartella, east of Mosul.[15]","Islamic State","Iraqi insurgency"
"2","Shooting","4","3","Quetta, Pakistan","At least four people were killed in an attack targeting Christians in the southwestern Pakistani city of Quetta. Three others, including a 12-year-old girl, were also injured in the incident.[16][17]","Islamic State","War in North-West Pakistan"
"2","Shooting","5","3","Fotokol, Cameroon","Five Cameroonian soldiers were killed and three others wounded in an attack on a military post in Sagmé in the commune of Fotokol in the Far North region of Cameroon.[18]","Boko Haram","Boko Haram insurgency"
"2","Shooting, stabbing, kidnapping","1","3","Bandipora district, India","Terrorists kidnapped a civilian and injured three of his relatives in Jammu and Kashmir's Bandipora district. Later, the person kidnapped by the gunmen was found dead.[19][20]","Lashkar-e-Taiba","Insurgency in Jammu and Kashmir"
"2","Shooting","2","0","Almar District, Afghanistan","Hundreds of Taliban fighters attacked the center of the Almar district in the north of Faryab province and killed two policemen.[21]","Taliban","War in Afghanistan"
"3","Arson","0","0","Añelo, Argentina","Militants burned a security post, a shed and the corral belonging to a future project of shell oil fields and YPF-Chevron in the community of Tratayen, Añelo, province of Neuquen. The attackers demanded the occupation of some 12,000 hectares that connect that connect to the land.[22]","Resistencia Ancestral Mapuche","Mapuche conflict"
"3","Shooting","2","5","Khas Urozgan District, Afghanistan","At least two Afghan soldiers were killed and five others injured after Taliban fighters attacked a security forces' camp in Khas Urozgan district in Afghanistan.[23]","Taliban","War in Afghanistan"
"3","Shooting","1 (+2)","2","Mimika Regency, Indonesia","A gunfight in the mountainous area around the Freeport mine in the province of Papua between the indonesian army and papua rebels  was reported left three deads. [24]","OPM","Papua conflict"
