"date","type","dead","injured","location","details","perpetrator","partOf"
"1","Shooting","3 (+10)","4","Chimtal District, Afghanistan","The Taliban attacked a police outpost in the Chimtal district of the northern Afghan province of Balkh, killing three local policemen and wounding four others. At least ten Taliban fighters were also killed in the gunfight.[1]","Taliban","War in Afghanistan"
"1","Bombing","6","0","Arghistan District, Afghanistan","Six people, including women, were killed as their vehicle on its way to Maruf district struck a roadside bomb in the Arghistan district in the Afghan province of Kandahar.[2]","Taliban (suspected)","War in Afghanistan"
"1","Bombing","4","0","Nahri Saraj District, Afghanistan","Four children were killed in the explosion of a landmine in the Nahri Saraj district of Helmand province in Afghanistan.[2]","Taliban","War in Afghanistan"
"1","Suicide bombing","3 (+1)","4","Buuhoodle, Somalia","At least three people, including a former regional minister, were killed and four others injured when a suicide bomber blew himself up in the town of Buuhoodle in Somalia's Togdheer region.[3][4]","Al-Shabaab","Somali Civil War"
"1","Hostage taking","0","0","Kasserine, Tunisia","People armed with guns attacked a bank in the city of Kasserine in Tunisia. Eleven terrorists were responsible for the operation. Four of them entered the bank and robbed money, while seven others stole a vehicle and took a citizen hostage. No one was injured in the incident.[5][6][7]","Islamic State (suspected)","ISIL insurgency in Tunisia"
"1","Shooting","12","Unknown","Segou Region, Mali","At least twelve soldiers were killed and an unknown number of soldiers were injured. The attackers ambushed the convoy on the road between Nampala and Coura, in the central region of Segou before firing at the soldiers, AFP reported a military source as saying.[8][9]","Al-Qaeda in the Islamic Maghreb (suspected)","Northern Mali conflict"
"2","Kidnapping, shooting","3","0","Kabul and Mussahi District, Afghanistan","Three foreigners working for the French services giant Sodexo were kidnapped in the Afghan capital Kabul and later shot dead in the Mussahi district of Kabul province.[10]","Taliban (suspected)","War in Afghanistan"
"2","Shooting","7","10","Shirin Tagab District, Afghanistan","Seven members of the Afghan National Army were killed and ten others injured in a Taliban attack in the Shirin Tagab district of Faryab province in Afghanistan.[11]","Taliban","War in Afghanistan"
"2","Shooting","2","3","Yusufkhel District, Afghanistan","Gunmen attacked an Afghan Local Police commander travelling with his family to Sharana, killing his wife, a daughter and injuring him, a second daughter and a son in the Yusufkhel district in the southeastern Afghan province of Paktika.[12]","Taliban","War in Afghanistan"
"2","Mortar attack","3","6","Aleppo, Syria","Militants opened mortar fire targeting a residential quarter of the city of Aleppo in Syria, killing three people and injuring six.[13][14]","Syrian Liberation Front","Syrian Civil War"
"2","Car bombing","2","25","Idlib, Syria","A child and a woman were killed and at least 25 others injured when a car bomb exploded in the center of the northwestern Syrian city of Idlib.[15][16]","Islamic State (suspected)","Syrian Civil War"
"2","Bombing","0","0","Lawdar District, Yemen","An improvised explosive device blew up when a security patrol passed by in the Lawdar district in the province of Abyan in Yemen, causing no casualties.[17]","Al-Qaeda in the Arabian Peninsula (suspected)","Yemeni Civil War"
"2","Arson","0","0","Diamer District, Pakistan","13 schools were attacked set on fire by militants in villages in the Diamer district of the administrative territory of Gilgit-Baltistan in Pakistan.[18][19][20]","Unknown","War in North-West Pakistan"
"2","Kidnapping","0","6 Kidnapped","Choco Department, Colombia","Four soldiers and two civilians were kidnapped for ELN militants when they were transported by boat in a river in the Department of Chocó, Colombia.[21]","ELN","Colombian conflict"
"3","Shooting","3 (+1)","0","Cawayan,, Philippines","Three soldiers were killed in a gunfight against members of the New People´s Army in Cawayan town, Masbate, Philippines. The soldiers reported have killed more than one rebel.[22][23]","New People's Army","Communist rebellion in the Philippines"
"3","Ambush","4","1","Al Mahfad District, Yemen","A commander of the Rapid Intervention Forces was seriously wounded and four of his companions were killed in an armed ambush by Al-Qaeda militants in the Al Mahfad district of the southern Yemeni province of Abyan.[24][25]","Al-Qaeda in the Arabian Peninsula","Yemeni Civil War"
"3","Grenade attack","0","2","Anantnag, India","A paramilitary Central Reserve Police Force (CRPF) man and a cop of Jammu and Kashmir police were injured in a militant attack in Anantnag town of this south Kashmir district.[26]","Jaish-e-Mohammed (suspected)","Insurgency in Jammu and Kashmir"
"3","Bombing","14","0","Shaykh Najjar, Syria","A landmine placed by Islamic State militants exploded in the area of Shaykh Najjar in the northern Syrian Aleppo governorate, killing 14 civilians.[27]","Islamic State","Syrian Civil War"
"3","Shooting, suicide bombings","48 (+2)","70","Gardez, Afghanistan","Two militants dressed in burqas entered a Shiite mosque in the town of Gardez in the province of Paktia and opened fire. Both attackers later blew themselves up. 48 people were killed and at least 70 others injured in the attack.[28][29][30]","Islamic State","War in Afghanistan"
"4","Shooting","1","0","Tiko, Cameroon","A police officer was shot dead in his home in Mutengene, close to Tiko, Southwest Region.[31]","Ambazonia Defence Forces","Anglophone Crisis"
"4","Bombing","1","8","Hakkâri Province, Turkey","1 Turkish police officer was killed and another 8 were injured when suspected PKK militants put an explosive device in Turkey's Hakkâri Province.[32]","PKK (suspected)","Kurdish-Turkish conflict"
"4","Car Bombing","0","0","Saravena, Colombia","A car bomb detonated near the military air base of Colonizadores in the municipality of Saravena, Arauca Department, Colombia.[33][34]","ELN","Colombian conflict"
"4","Car bombing","0","6","Mudiyah District, Yemen","A car bomb exploded near a convoy of Yemeni troops in the Mudiyah district in the province of Abyan in southern Yemen, injuring six security personnel.[35]","Al-Qaeda in the Arabian Peninsula","Yemeni Civil War"
"4","Bombing","3","0","Tikrit District, Iraq","Three federal police officers were killed in a bomb explosion near Tikrit in Iraq's Saladin governorate.[36]","Islamic State (suspected)","Iraqi insurgency"
"4","Drone attack","0","7","Caracas, Venezuela","Caracas drone explosions: Drones loaded with explosives detonated close to a military event where Venezuelan President Nicolás Maduro was giving a speech in the capital of Venezuela Caracas. He and top government officials alongside him escaped unharmed. Seven National Guard soldiers were injured in the incident.[37][38][39]","Movimiento Nacional Soldados de Franelas (Claimed)","Crisis in Venezuela"
"4","Arson, shooting","1 (+1)","1","Diamer District, Pakistan","A government girls' school was torched in the Darel tehsil of the Diamer District in Gilgit-Baltistan in Pakistan. In another incident, one policeman was killed and another wounded in a gun battle in the Tangir tehsil of the same district. A militant was also killed in the incident.[40][41]","Unknown","War in North-West Pakistan"
"4","Shooting","3","0","Bassa, Nigeria","Three civilians (incluiding a child) were shot dead in Zanwara area, Bassa Local Government, Kogi State, after an attack perpetrated for Fulani Herdsmen.[42][43]","Fulani herdsmen","Communal conflicts in Nigeria"
"5","Shooting","4","0","Wum, Cameroon","At least four gendarmes were killed in Eso, a village near Wum, Northwest Region.[44]","Ambazonia Defence Forces","Anglophone Crisis"
"5","Suicide bombing","3 (+1)","3","Chaharikar District, Afghanistan","Three NATO soldiers from the Czech Republic were killed and one American service member and two Afghan soldiers were injured in a suicide attack in the Chaharikar district of Parwan province in Afghanistan.[45]","Taliban","War in Afghanistan"
"5","Suicide Bombing","3 (+1)","3","Jalalabad, Afghanistan","Three officers of the Afghan National Army were killed and three others injured when a suicide bomber detonated his explosives in front of an army checkpoint in the eastern Afghan city of Jalalabad.[46]","Islamic State","War in Afghanistan"
"5","Suicide car bombing","4 (+1)","10","Afgooye, Somalia","A suicide car bomb attack near the gate of a military base in the town of Afgoye, 30 km northwest of Somalia's capital Mogadishu, killed four people and injured ten others.[47]","Al-Shabaab","Somali Civil War"
"5","Car bombing","9","7","Mogadishu, Somalia","At least nine people were killed and seven others wounded when a car bomb explosion hit a busy restaurant in the Somali capital Mogadishu.[48][49]","Al-Shabaab (suspected)","Somali Civil War"
"6","Arson","0","0","Cleveland National Forest, United States","A wildfire that burned in the Cleveland National Forest in Orange and Riverside Counties, California. Days later a sovereign citizen suspected to ignited a massive forest fire was arrested, and the investigation still ongoing.[50][51][52]","Sovereign Citizen militant","Terrorism in the United States"
"6","Bombings","4","15","Daraa Governorate, Syria","Four civilians were killed and 15 others injured when a number of explosives planted by Islamic State militants blew up in the Syrian governorate of Daraa.[53]","Islamic State","Syrian Civil War"
"6","Shooting, Kidnapping","3","1","Salahuddin, Iraq","3 people were killed by unidentified gunmen and a 4th one was kidnapped in Salahuddin Iraq.[54]","Islamic State (suspected)","Iraqi insurgency"
