"date","type","dead","injured","location","details","perpetrator","partOf"
"1","Shooting","9 (+3)","37","Peshawar, Pakistan","2017 Peshawar Agriculture Directorate attack: On 1 December 2017 Friday morning 3-4 gunmen who were burqa-clad, arrived at the Agriculture Training Institute in a rickshaw. 9 people were killed and 37 were injured. Three attackers were also killed.[1][2][3]","Tehrik-i-Taliban Pakistan","War in North-West Pakistan"
"1","Ambush","2 (+12)","Unknown","Beledweyne District, Somalia","Two Somali soldiers and 12 militants were killed when al-Shabab militants attacked a convoy.[4]","Al-Shabaab","War in Somalia"
"1","Bombing, suicide car bombing","1 (+1)","11","Baghdad, Iraq","At least one civilian was killed and eleven others were injured in a series of bombings in southern Baghdad. Another bomb went off in a road next to the capital.[5]","Jihad and Reform Front (suspected)","Iraqi Civil War"
"2","Shooting","0","4","Binuangan, Misamis Oriental, Philippines","At least four policemen were injured during a gunfight between members of the PNP and militants of the New People's Army.[6]","New People's Army","CPP-NPA-NDF conflict"
"2","Suicide bombings","15 (+2)","53","Borno State, Nigeria","Fifteen persons were killed and 53 others injured in twin suicide bomb attacks in a market in Borno State.[7]","Boko Haram","Boko Haram insurgency"
"2","Bombing","25","Unknown","Rawa, Iraq","25 people were killed when a house rigged with explosives blew up in Rawa.[8]","Islamic State (suspected)","Iraqi Civil War"
"2","Rocket, bombing","3","10","Jalalabad, Afghanistan","Three Afghan security officers were killed and 10 other people were injured in three rocket and bomb attacks in Jalalabad.[9]","Islamic State","War in Afghanistan"
"3","Shooting","0","0","Sardinata, Colombia","An encounter between militants of the EPL and Colombian officers were reported in the municipality of Sardinata in the department of Norte de Santander.[10]","Ejercito Popular de Liberación","Colombian conflict"
"3","Suicide bombing","6 (+1)","13","Jalalabad, Afghanistan","At least six civilians, including a woman and a child, were killed and 13 others wounded in a blast in Jalalabad.[11]","Taliban (suspected)","War in Afghanistan"
"3","Bombings","1","5","Baghdad, Iraq","One person was killed while five others were injured in two bomb blasts in northern and eastern Baghdad.[12]","Islamic State (suspected)","Iraqi Civil War"
"3","Shooting","2 (+4)","3","Lake Sebu, Philippines","At least two soldier and four rebels were killed in an encounter being part of a rebel offensive  in the province of South Cotabato.[13]","New People's Army","CPP-NPA-NDF rebellion"
"4","Bombing","0","11","Chapali Bhadrakali, Nepal","11 persons including Nepali Congress youth leader Gagan Thapa have been injured in an explosion targeting his election rally at Chapali.[14]","People's Liberation Army, Nepal (suspected)","Aftermath of Nepalese Civil War"
"4","Rockets","2","7","Damascus, Syria","Two civilians were killed and another seven were wounded when militant missiles hit the Al-Abassiyeen Bus Station in Damascus.[15]","Tahrir al-Sham (suspected)","Syrian Civil War"
"4","Shooting","1","3","Bria, Central African Republic","A UN police officer from Mauritania was killed and three others injured in a shooting attack in Bria by Anti-balaka militants.[16]","Anti-balaka","Central African Republic Civil War"
