"date","type","dead","injured","location","details","perpetrator","partOf"
"1","Shooting","7 (+11)","11","Faryab Province, Afghanistan","The Taliban attacked security checkpoints in the Faryab Province causing clashes in which seven security forces died and eleven were wounded. Eleven Taliban insurgents were also killed.[1]","Taliban","War in Afghanistan"
"1","Arson,
Hostage Taking
","0","0","Gadchiroli district, India","At least 14 road constructions vehicles were burned down by Maoists while ten drivers were kept hostage until the sunrise in the district of Gadchiroli, Maharashtra state.[2]","PLGA","Naxalite–Maoist insurgency"
"1","Shooting","8 (+6)","Several","Gujba, Nigeria","Boko Haram launched an attack on a military base in Buni Gari at Gujba, killing eight soldiers, while several were wounded in the attack. Six militants were also killed.[3][4][5][6]","Boko Haram","Boko Haram insurgency"
"1","Shooting","1","2","Hawija District, Iraq","Islamic State gunmen attacked and opened fire in the Nasr village. The attack killed a civilian and wounded the two others.[7]","Islamic State","Iraqi insurgency"
"1","Shooting","1","1","Machh, Pakistan","A Pakistani Shia coalmine worker was shot dead while another person was injured by Lashkar-e-Jhangvi terrorists in the Machh town of Pakistan.[8]","Lashkar-e-Jhangvi","War in North-West Pakistan"
"1","Suicide bombings","0 (+2)","5","Maiduguri, Nigeria","Two suspected Boko Haram suicide bombers detonated their vests targeting a security patrol in Maiduguri, injuring five people.[9]","Boko Haram","Boko Haram insurgency"
"1–2","Shooting, arson, melee attack","4","0","Mocímboa da Praia District, Mozambique","Two attacks carried out by Ansar-al-Sunna terrorists left four people dead in two days: the first attack occurred when the armed men set on a fire a camp resulting in one person killed, while the next day, a group of armed men with machetes and machine guns attacked a similar camp nearby in the Mocímboa da Praia District, killing three.[10][11]","Ansar al Sunna","Islamist insurgency in Mozambique"
"2","Assassination","1","0","Rajnandgaon district, India","A 28-year-old farmer was shot dead by Naxals who accused him of being a police informer in Rajnandgaon district, in Chhattisgarh.[12]","PLGA","Naxalite–Maoist insurgency"
"2","Kidnapping","0","60","Dara-I-Suf District, Afghanistan","Taliban militants abducted 60 drivers of coal-supplying trucks in Dara-i-Suf District in Samangan Province. Efforts were underway by security forces to release the abducted drivers.[13]","Taliban","War in Afghanistan"
"2","Artillery shelling","1","1","Hama Governorate, Syria","Militants shelled parts of the Hama Governorate, resulting in a Syrian serviceman dead and another one wounded.[14]","Guardians of Religion Organization (suspected)","Syrian Civil War"
"2","Shooting","3","0","Khan Tuman, Syria","Three Syrian soldiers were killed when Tahrir-al-Sham opened fire and attacked Syrian Army positions in the Khan Tuman village.[15]","Tahrir al-Sham","Syrian Civil War"
"2","Car bombing","1","2","Mogadishu, Somalia","A person was killed and two others were wounded when a car bomb, planted by suspected Al-Shabaab militants, went off near the parliament in Mogadishu.[16][17]","Al-Shabaab","Somali Civil War"
"2","Shooting","1","1","Rawalpindi, Pakistan","Multiple assailants on motorcycles opened gunfire on policemen killing one and injuring another one. The attack occurred as the policemen were doing a routine check in Rawalpindi. Hizbul-Ahrar claimed responsibility for the shooting.[18]","Hizbul Ahrar","War in North-West Pakistan"
"2","Shooting","31","0","Nduga Regency, Indonesia","31 construction workers were killed in a separatist militant attack in the Nduga Regency in Indonesia.[19][20][21]","Free Papua Movement","Papua conflict"
"3","Car bombing","0","0","Karachi, Pakistan","A car bomb exploded near a market in Karachi. However, no one was killed or injured due to the car bomb failing to detonate completely.[22][23]","Islamists (suspected)","War in North-West Pakistan"
"3","Shooting","5 (+13)","7","Sayyad District, Afghanistan","The Taliban stormed a police checkpoint in the Sayyad District, the attack killed 5 policemen including a district chief and also injured 7 people. 13 Taliban were also killed in the attack.[24]","Taliban","War in Afghanistan"
"4","Shooting","1","0","Nineveh Governorate, Iraq","A tribal leader was gunned down by presumed Islamic State militants after they stormed his house located in the Al-Emrini village of the Nineveh Province.[25]","Islamic State","Iraqi insurgency"
"4","Car bombing","0","1","Mogadishu, Somalia","A Somali journalist in Mogadishu was badly wounded when a bomb concealed in his car blew up as he was nearby. No group has claimed responsibility but Al-Shabaab militants are suspected to be behind[26][27]","Al-Shabaab (suspected)","Somali Civil War"
"4","Shooting, arson","0","3","Seytenga Department, Burkina Faso","Jihadists attacked a gendarmerie by opening fire and wounding 3 gendarmes. 3 vehicles were also set on fire and burnt by the Jihadists in the Seytenga Department.[28][29]","Islamic State (suspected)","Insurgency in the Maghreb"
"4","Shooting","2","0","Bastar district, India","Maoists killed two police informers who were visiting a market in the Bastar District. The police informers were two ex-Maoists who had surrendered earlier and had started to work with the police.[30]","PLGA","Naxalite–Maoist insurgency"
"4","Shooting","4 (+6)","0","Herat Province, Afghanistan","The Taliban attacked a police checkpoint in the Herat Province, killing 4 people including 3 civilians and one police officer. 6 Taliban attackers were also killed.[31][32]","Taliban","War in Afghanistan"
"4","Bombing","2","1","Zhari District, Afghanistan","Two police officers were killed and another one was wounded when a roadside bomb detonated in the Zhari District. The blast was blamed on the Taliban.[33]","Taliban","War in Afghanistan"
"4–5","Shootings","1","2","Borno State, Nigeria","Boko Haram terrorists affiliated with the Islamic State attacked several army bases in the Borno State. The attacks left a soldier dead and a two others wounded.[34][35]","Boko Haram","Boko Haram insurgency"
"5","Shooting","6 (+7)","0","Tadmur District, Syria","The Islamic State attacked the desert area of Homs resulting in the deaths of 6 Syrian Soldiers and also the deaths of 7 insurgents.[36]","Islamic State","Syrian Civil War"
"5","Shooting","3","Several","Abu Kamal, Syria","The Islamic State launched an attack on an area close to Abu Kamal, resulting in the 3 deaths of the Syrian Army and several others wounded.[37][38]","Islamic State","Syrian Civil War"
"5","Melee attack, arson","1","0","Dantewada district, India","Maoists slit the throat of a mining contractor in the Dantewada District. His vehicle was also set on fire by the Maoists.[39]","PLGA","Naxalite–Maoist insurgency"
"5","Shooting","1 (+6)","0","Bankass, Mali","Assailants attacked a gendarmerie in Bankass leaving a soldier killed. The attack, however, was mostly repelled, with 6 gunmen dead and other weapons seized by the army from the gunmen.[40][41]","Al-Qaeda in the Islamic Maghreb","Northern Mali conflict"
"5","Bombing","0","4","Al-Hilla District, Iraq","Four people belonging to the Popular Mobilization Forces were injured when their vehicle was bombed close to the Hilla area.[42]","Islamic State","Iraqi insurgency"
"6","Bombing","1","3","Kohlu District, Pakistan","One security officer was killed and three others were injured when an explosive device detonated while they were patrolling in the Kohlu District. No group has claimed responsibility yet for the attack.[43]","Hizbul Ahrar (suspected)","War in North-West Pakistan"
