"date","type","dead","injured","location","details","perpetrator","partOf"
"1","Shooting, rocket attack","3","7","Hakkâri Province, Turkey","Three Turkish soldiers were killed and seven wounded in cross-border attacks carried out by the outlawed Kurdistan Workers’ Party (PKK) from northern Iraq, targeting the eastern Turkish province of Hakkâri .[1]","PKK","Kurdish–Turkish conflict"
"1","Bombing","1","4","Al Anbar Governorate, Iraq","A bomb from the remnants of the Islamic State exploded targeting a border guards patrol near al-Waleed border crossing, west of Anbar. The blast left one of the personnel killed and four others wounded, in addition to damages caused to the patrol.[2]","Islamic State","Iraqi insurgency"
"1","Shooting","0","0","Pulwama district, India","Terrorists attacked a post manned by a joint team of Jammu and Kashmir Police and CRPF at Banura area of south Kashmir’s Pulwama district. No casualties have been reported.[3]","Jaish-e-Mohammed (suspected)","Insurgency in Jammu and Kashmir"
"1","Bombing","3","2","Banaadir, Somalia","A roadside bomb explosion killed at least three people and wounded two others in an area outside Mogadishu, the Somali capital.[4][5]","Al-Shabaab (suspected)","Somali Civil War"
"1","Bombing","0","3","Ankara, Turkey","Three people were slightly injured in an explosion in the building of the Tax Directorate in Ankara.[6][7]","YPG / PKK","Kurdish–Turkish conflict"
"1","Shooting","2","4","Patikul, Philippines","Two people were killed while four others were wounded when Abu Sayyaf bandits waylaid a private vehicle in Patikul, Sulu.[8]","Abu Sayyaf","Moro conflict"
"2","Suicide bombing, shooting","0 (+1)","2","Mastung District, Pakistan","A suicide bomber blew himself up when FC personnel foiled his entrance in Sheikhwasil Check Post after hectic efforts and firing. Two security personnel were partially injured in the suicide blast.[9]","Tehrik-i-Taliban Pakistan","War in North-West Pakistan"
"2","Bombing","3","5","Gelan District, Afghanistan","Two women and a child were killed after the vehicle they were travelling in struck a roadside bomb in the Gelan district of southeastern Ghazni province. Another three children, one woman and one man were wounded in the blast that took place in Chirlai area of the district.[10]","Taliban","War in Afghanistan"
"2","Shooting","5","4","Shirin Tagab District, Afghanistan","Five guards of a political party have been killed and four others wounded in a Taliban attack in Shirin Tagab district of northwestern Faryab province.[11]","Taliban","War in Afghanistan"
"2","Shooting, stabbing","3","0","Beni Territory, Democratic Republic of Congo","Three people were killed in an attack by Ugandan Muslim rebels of the ADF who also looted a hospital in the eastern Democratic Republic of Congo.[12]","Allied Democratic Forces","Allied Democratic Forces insurgency"
"2","Rocket attack","2","19","Kilis and Reyhanlı, Turkey","Two civilians were killed and 19 others injured after nine rockets were fired from Syria in the city of Kilis and the district of Reyhanlı in southern Turkey.[13]","YPG / PKK","Kurdish–Turkish conflict"
"3","Shooting","0","6","Macerata, Italy","An Italian gunman with extreme right-wing sympathies shot and injurie six African asylum seekers in the Italian city of Mascerata.[14]","Right wing extremist","Terrorism in Italy"
"3","Grenade attack","0","5","Tral, India","Five persons, including three CRPF personnel, were injured in a grenade attack in Batagund area of Tral in south Kashmir’s Pulwama district.[15][16]","Jaish-e-Mohammed (suspected)","Insurgency in Jammu and Kashmir"
"3","Shooting","2","0","Kolofata, Cameroon","At least two civilians were killed in an attack by the terror group Boko Haram in Kolofata of Cameroon's Far North region.[17]","Boko Haram","Boko Haram insurgency"
"3","Bombing","0","0","Guaviare Department, Colombia","FARC dissidents blew up an energy tower in the southeastern Colombian department of Guaviare, which left some 22,000 people in the area without electricity.[18]","FARC dissidents","Colombian conflict"
"3","Suicide bombing","11 (+1)","13","Kabal Tehsil, Pakistan","At least 11 security officials were killed and 13 injured in a suicide attack near a military camp in Swat district of Khyber-Pakhtunkhwa.[19]","Tehrik-i-Taliban Pakistan","War in North-West Pakistan"
"3","Shooting","1","6","Bala Buluk District, Afghanistan","One policeman has been killed and six others wounded in an attack in the Bala Buluk district of western Farah province.[20]","Taliban","War in Afghanistan"
"3-4","Shooting, hostage taking","5","0","Talataye, Mali","At least four civilians were killed by suspected Islamists in the Gao region of northern Mali. The assailants also took hostages during the attack, at least one of which was killed later.[21]","Islamic State (suspected)","Northern Mali conflict"
"4","Bombing","3","6","North Sinai Governorate, Egypt","A roadside bomb targeted a pickup truck carrying members of the security forces in the turbulent north of the Sinai Peninsula, killing three. Five other members of the security forces and a civilian were wounded in the attack.[22][23]","Islamic State (suspected)","Sinai insurgency"
"4","Shooting, arson","3","7","Borno State, Nigeria","Boko Haram fighters stormed a village in northeast Nigeria and killed three people. Seven others were injured in the attack.[24][25]","Boko Haram","Boko Haram insurgency"
"4","Shooting, arson","1","1","Kala/Balge, Nigeria","One person has been reported dead after Boko Haram terrorists attacked Kala village, opposite the Internally Displaced Persons (IDPs) camp in Dalori, Borno State. The attackers also injured another man during the attack and burnt down some houses.[26]","Boko Haram","Boko Haram insurgency"
"4","Shooting, arson","6","2","Far North Region, Cameroon","Six people were killed and two others injured in the Cameroonian town of Hitawa (Far North), following an attack by Boko Haram.[27][28]","Boko Haram","Boko Haram insurgency"
"4","Shooting","0","0","Hombori, Mali","Terrorists attacked a police station at Hombori. No one was killed or hurt in the attack.[29]","Al-Qaeda in the Islamic Maghreb","Northern Mali conflict"
"4","Shooting","2","0","Gossi, Mali","Suspected jihadists killed two Malian soldiers overnight in the country's unstable north.[30]","Al-Qaeda in the Islamic Maghreb","Northern Mali conflict"
"4","Bombing","4","5","Mogadishu, Somalia","At least 4 people have been killed and 5 others injured in a bomb explosion inside a house in the Somali capital Mogadishu.[31][32][33]","Al-Shabaab","Somali Civil War"
"4","Shooting, grenade attack","1","0","Ituango, Colombia","Armed men threw a grenade at a house in Ituango and fired repeatedly at its facade. The incident left a 3-year-old girl dead.[34][35]","FARC dissidents","Colombian conflict"
"4","Shooting, grenade attack","1 (+1)","7","Tripoli, Lebanon","One Lebanese army soldier was killed and 7, including two officers, were injured during a raid the army launched to arrest suspects in the northern port city of Tripoli. A suspect was shot and killed while another one was arrested.[36][37]","Islamic State","Spillover of the Syrian Civil War"
"4","Kidnapping, stabbing","1","0","Bijapur district, India","A policeman was abducted and killed by Naxalites in the Bijapur district of the Indian state of Chhattisgarh.[38]","CPI","Naxalite–Maoist insurgency"
"5","Stabbing","1","0","Ariel, West Bank","2018 Ariel stabbing: An Israeli man was stabbed to death in a terror attack at a bus station outside the West Bank settlement of Ariel.[39]","Palestinian nationalist","Israeli–Palestinian conflict"
"5","Grenade attack","0","0","Kakapora, India","Terrorists attacked the Rashtriya Rifles camp in Kakapora with a grenade. No loss of life or any injury has been reported in the incident.[40]","Jaish-e-Mohammed","Insurgency in Jammu and Kashmir"
"5","Shooting","6","0","Diyala Governorate, Iraq","Six paramilitary Hashd al-Shaabi fighters were killed in an attack by Islamic State militants in Iraq's eastern province of Diyala.[41]","Islamic State","Iraqi insurgency"
"5","Shooting","1","1","Karachi, Pakistan","Gunmen have opened fire on two Chinese nationals in Pakistan's southern port city of Karachi, killing one and wounding the other.[42][43]","Islamic State (suspected)","War in North-West Pakistan"
"5","Bombing","1","8","Panjgur, Pakistan","A man was killed and eight other people were injured in a bomb blast targeting a pro-government in Panjgur.[44]","Baluch Liberation Front","Insurgency in Balochistan"
"5","Bombing","0","0","Saravena, Colombia","Guerrillas of the National Liberation Army (ELN) destroyed a stretch of the Caño Limón-Coveñas pipeline in northeastern Colombia with explosives.[45]","ELN","Colombian conflict"
"5","Shooting","1","7","Nahri Saraj District, Afghanistan","One Afghan Local Police member was killed and seven others were wounded in a Taliban attack on a check-post in southern Helmand province.[46]","Taliban","War in Afghanistan"
"5","Shooting","1","0","Beledweyne, Somalia","Assailants have shot and killed a former district commissioner in Beledweyne, the regional capital of Hiran province in central Somalia.[47]","Al-Shabaab","Somali Civil War"
"5","Rocket attack, mortar attack","1","6","Idlib Governorate, Syria","A Turkish soldier was killed and six people wounded in a rocket and mortar attack on the Turkish military in Syria's northwestern province of Idlib.[48]","Tahrir al-Sham (suspected)","Syrian Civil War"
"6","Shooting","2","0","Srinagar, India","Two policemen were killed after militants attacked a government-run hospital in Srinagar that allowed a hardened Pakistani terrorist to escape.[49]","Lashkar-e-Taiba","Insurgency in Jammu and Kashmir"
"6","Bombing","0","2","Al-Mada'in District, Iraq","An explosive charge planted by terrorists went off at al-Mada’in district, southeast of Baghdad, leaving two civilians wounded.[50]","Islamic State (suspected)","Iraqi insurgency"
"6","Bombing","0","3","Yaha District, Thailand","A defence volunteer, a school-mum and a young student were wounded when a bomb exploded near a school in Yala’s Yaha district.[51]","Barisan Revolusi Nasional (suspected)","South Thailand insurgency"
"6","Mortar attack","3","15","Atme, Syria","Three civilians were killed and 15 others injured in a mortar attack carried out by PKK-affiliated People's Protection Units (YPG)  in northwestern Syria's Afrin region.[52]","YPG / PKK","Syrian Civil War"
"6","Mortar attacks","6","30","Damascus, Syria","At least six civilians were killed and 30 injured in Damascus and its surroundings by attacks of terrorist groups using mortars.[53]","Jaysh al-Islam (suspected)","Syrian Civil War"
"6","Shooting, grenade attack","0","5","Bosaso, Somalia","At least five soldiers were wounded in an overnight attack on a Police Station in Bosaso, the main commercial city of Somalia's northeastern semi-autonomous region of Puntland.[54][55]","Al-Shabaab","Somali Civil War"
"6","Shooting","2","0","Jalalaqsi, Somalia","At least two people were killed in an attack on a police station by Al-Shabaab militants in Jalalaqsi town in Hiran region of central Somalia.[56]","Al-Shabaab","Somali Civil War"
"6","Shootings","3","0","Mogadishu, Somalia","At least three people were killed in separate shootings in Mogadishu by Al-Shabaab assassins.[57]","Al-Shabaab","Somali Civil War"
"6","Ambush","4","4","Chora District, Afghanistan","Four policemen, who were commanders of their posts, were killed after they were ambushed by Taliban militants in Chora district. Another four policemen were wounded in the attack in Akhtar village of the district.[58]","Taliban","War in Afghanistan"
"6","Shooting","3","0","Urozgan Province, Afghanistan","The Taliban shot dead three members of a family in Urozgan province.[58]","Taliban","War in Afghanistan"
"6","Rocket attack","2","4","Mirali Tehsil, Pakistan","At least two security personnel were killed and four others injured when their vehicle came under attack in Pakistan's northwest tribal area of North Waziristan.[59][60]","Tehrik-i-Taliban Pakistan","War in North-West Pakistan"
"7","Suicide bombing, bombings","0 (+1)","7","Baghdad Governorate, Iraq","Seven people were wounded in two bomb explosions in the north and southeast of Baghdad. Earlier, a female suicide bomber was killed as she was trapped by Iraqi troops inside a Baghdad school before blowing herself up.[61][62]","Islamic State (suspected)","Iraqi insurgency"
"7","Stabbing","0 (+1)","1","Karmei Tzur, West Bank","A security guard was lightly wounded in a stabbing attack in the settlement of Karmei Tzur in Gush Etzion. Another security guard opened fire and killed the terrorist.[63]","Palestinian nationalist","Israeli–Palestinian conflict"
"7","Bombing","1","Several","Bajaur Agency, Pakistan","A tribal elder was killed in a remote-controlled explosion in Bajaur Agency. Several others were injured in the attack.[64][65]","Tehrik-i-Taliban Pakistan","War in North-West Pakistan"
"7","Shooting","1","0","Mogadishu, Somalia","A senior Somali military officer was assassinated in Mogadishu, the Somali capital.[66]","Al-Shabaab","Somali Civil War"
"7","Bombing","5","4","Afgooye District, Somalia","Five Somali soldiers were killed and four others wounded in a roadside explosion in Afgooye district in Lower Shabelle region.[67]","Al-Shabaab","Somali Civil War"
"8","Suicide bombing","1 (+1)","14","Ramadi, Iraq","At least one person was killed and fourteen others were wounded in a suicide bombing in Ramadi city, west of Anbar.[68]","Islamic State","Iraqi insurgency"
"8","Bombing","1","2","Taji District, Iraq","A civilian was killed and two others were injured in a bomb blast in Taji district, north of Baghdad.[69]","Islamic State (suspected)","Iraqi insurgency"
"8","Shooting","7","3","Khanaqin, Iraq","Seven people have been killed and three injured in a shooting in Khanaqin.[70][71]","Islamic State (suspected)","Iraqi insurgency"
"9","Bombings","2","143","Benghazi, Libya","Twin bomb blasts struck a mosque in Benghazi in eastern Libya, killing at least two people and wounding 143.[72][73][74]","Islamic State (suspected)","Libyan Civil War"
"9","Rocket attack","1","0","Çukurca, Turkey","One soldier has died as a result of rocket fire by PKK terrorists in Çukurca, Hakkâri province in south-eastern Turkey.[75]","PKK","Kurdish–Turkish conflict"
"9","Stabbing","0","1","Mill Park, Australia","Momena Shoma, a Bangladeshi national, stabbed a 56-year-old man in the neck while he was asleep at his Callistemon Rise home in Mill Park.[76]","Islamic State","Terrorism in Australia"
"9","Bombing","5","18","Mopti Region, Mali","Five civilians were killed and another 18 wounded in central Mali when their passenger vehicle struck a landmine.[77]","Al-Qaeda in the Islamic Maghreb (suspected)","Northern Mali conflict"
"9","Assassination","1","0","Tarazá, Colombia","A peasant leader was shot dead for paramilitaries for the Autodefensas Gaitanistas de Colombia in Taraza, Antioquia Department[78]","Autodefensas Gaitanistas de Colombia","Colombian conflict"
"9","Bombing","4","2","Bati Kot District, Afghanistan","At least four local cricket players were killed and two civilians wounded in an explosion in Bati Kot district of Nangarhar province.[79][80]","Islamic State (suspected)","War in Afghanistan"
