"date","type","dead","injured","location","details","perpetrator","partOf"
"1","Grenade attacks","0","6","Srinagar district, Anantnag district and Pulwama district, India","Militants carried out three grenade attacks in the districts of Srinagar, Anantnag and Pulwama in Jammu and Kashmir. Six people were injured in the attacks.[1][2]","Jaish-e-Mohammed","Insurgency in Jammu and Kashmir"
"1","Shooting","1","0","Jamui district, India","Over 30 armed Maoists raided a village and shot dead a farmer in the district of Jamui in the Indian state of Bihar.[3]","CPI","Naxalite–Maoist insurgency"
"1","Shooting","1","4","North Waziristan, Pakistan","Gunmen shot and killed a Pakistani official and wounded three security forces in North Waziristan. A fourth guard was still missing.[4]","Hizbul Ahrar","War in North-West Pakistan"
"1","Shooting, mortar attack","72","Unknown","Moqokori, Somalia","The Islamist group Al-Shabaab attacked the town of Moqokori in the Hiran region of Somalia. According to the militants, 72 soldiers were killed in the fighting.[5][6][7]","Al-Shabaab","Somali Civil War"
"1","Bombing","0","0","Santiago, Chile","An incendiary explosive device were detonate on the outskirts of the Cooperlacar savings and credit cooperative (a banking institution directed to members of the police force). Later an unknown anarchist group claimed the attack in an anti stablishment website.[8][9]","Anarchists","Terrorism in Chile"
"1","Shooting","4","10","Bari, Somalia","Al-Shabaab militants carried out a major attack on a military base near the Galgala mountains in the Bari region of Somalia, killing at least four soldiers and wounding ten more.[10][11]","Al-Shabaab","Somali Civil War"
"2","Bombing","1","3","Mes Aynak, Afghanistan","An Afghan archaeologist was killed and three people injured in a bomb attack on the outskirts of Kabul.[12]","Taliban","War in Afghanistan"
"2","Grenade attacks","0","8","Srinagar, India","Four Central Reserve Police Force personnel, including an officer, and four civilians were injured in three grenade explosions in Srinagar, India.[13]","Jaish-e-Mohammed","Insurgency in Jammu and Kashmir"
"2","Bombing","4","0","Al-Shirqat District, Iraq","Four Iraqi policemen were killed in a bomb explosion in near the town of Al-Shirqat in Iraq's central Saladin governorate.[14][15]","Islamic State (suspected)","Iraqi insurgency"
"2","Shooting","12","0","Balad District, Iraq","A family of 12 was killed by Islamic state militants in the village of Al-Farahatiyah in the Balad district of the Iraqi Saladin governorate.[16][17]","Islamic State","Iraqi insurgency"
"2","Shooting, arson","1","5","Ajdabiya, Libya","Islamic state militants attacked a security checkpoint in the south of the eastern Libyan city of Ajdabiya, killing one woman and injuring five others. The attackers also burned the checkpoint and four security vehicles.[18]","Islamic State","Libyan Civil War"
"2","Shooting, suicide bombing","0 (+1)","2","Karachi, Pakistan","A man opened fire on security forces after being asked to stop at a checkpoint near Hub on the outskirts of Karachi in Pakistan, and then detonated a bomb that led to his death. Two Rangers were injured in the incident.[19][20]","Hizbul Ahrar","War in North-West Pakistan"
"2","Shooting","3","0","Mogadishu, Somalia","Gunmen, probably Al-Shabaab fighters, shot dead two security soldiers in the Somali capital Mogadishu. A civilian passerby was also killed in the shootout.[21]","Al-Shabaab (suspected)","Somali Civil War"
"2","Shooting","1","0","Briceño, Colombia","A soldier was killed by FARC dissidents in the municipality of Briceño in the Antioquia department in Colombia.[22]","FARC dissidents","Colombian conflict"
"3","Roadside Bombing","3","0","Dih Bala district,Afghanistan","Three children were killed when an improvised explosive device detonate Deh Bala district in the Nangarhar Province. No more details were provided for the Authorities.[23]","Islamic State of Iraq and the Levant – Khorasan Province","War in Afghanistan"
"3","Bombing","2","0","Kirkuk Governorate, Iraq","Two police personnel were killed in a bomb explosion in the Iraqi province of Kirkuk.[24]","Islamic State (suspected)","Iraqi insurgency"
"3","Executions","5","0","Macomia District, Mozambique","Five civilians were decapitated in an attack on the village of Rueia in the Macomia district in the northern Mozambican province of Cabo Delgado.[25]","Ansar al-Sunna","Islamist insurgency in Mozambique"
"3","Shooting","10","30","Wanna, Pakistan","At least ten activists of the Pashtun Tahafuz Movement were killed and 30 others sustained injuries when local Taliban militants shot at them in Wanna in South Waziristan, Pakistan.[26][27]","Tehrik-i-Taliban Pakistan","War in North-West Pakistan"
"4","Assassinations","4","0","Cauca Department, Colombia","The FARC's dissidence murdered four leaders along the month from the El Naya region (southwestern Colombia), including one who was kidnapped while being transported on a humanitarian mission. The militants claimed that social leaders were involved with the drug trafficking in the area.[28]","FARC dissidents","Colombian conflict"
