"date","type","dead","injured","location","details","perpetrator","partOf"
"1","Shooting","2","3","Badush, Iraq","Two Iraqi soldiers were killed and three others injured in an attack by the Islamic State in Badush, Nineveh province.[1]","Islamic State","Iraqi insurgency"
"1","Shooting, kidnapping","1","3","Madagali, Nigeria","Boko Haram insurgents shot a woman and abducted three people in the Madagali Local Government Area of Adamawa state.[2]","Boko Haram","Boko Haram insurgency"
"1","Shooting, kidnapping","11","4","Rann, Nigeria","Boko Haram militants killed at least 11 people including three aid workers in an attack on a military barracks in the town of Rann in Borno state. Another three aid workers were wounded and one more kidnapped.[3][4]","Boko Haram","Boko Haram insurgency"
"1","Suicide car bombing, mortar attack","6 (+1)","5","Mogadishu, Somalia","At least three people were killed and three others wounded when a suicide car bomb blast targeted a security checkpoint in Sinka Dher on the outskirts of the Somali capital Mogadishu. Another three people were killed and two injured in a mortar attack in the Somali capital Mogadishu.[5][6]","Al-Shabaab","Somali Civil War"
"2","Shooting, bombing","1","5","Kifri, Iraq","Five Peshmerga fighters were wounded and a shepherd was killed in an attack by Islamic State militants in Kifri, Iraq.[7][8]","Islamic State","Iraqi insurgency"
"2","Shooting","5","3","Mandera County, Kenya","Five police officers have been killed and three others injured after al-Shabab militants attacked two security camps in Kenya's northeastern Mandera county.[9]","Al-Shabaab","Spillover of the war in Somalia"
"2","Suicide car bombing","3 (+1)","22","Kabul, Afghanistan","A foreign forces convoy was hit by a suicide car bomb attack in the ninth police district of Kabul, killing three people and injuring 22 others.[10][11]","Taliban (suspected)","War in Afghanistan"
"2","Shooting, suicide car bombing","30","85","Ouagadougou, Burkina Faso","2018 Ouagadougou attacks: 30 people were killed and 85 wounded in terrorist attacks on the French embassy and cultural center in Burkina Faso and the country’s army headquarters.[12][13]","Al-Qaeda in the Islamic Maghreb","Insurgency in the Maghreb"
"2","Suicide bombing","7 (+1)","28","Gujba, Nigeria","A female suicide bomber blew up herself at a mosque in the Fulatari area of Buni Yadi, Gujba Local Government Area of Yobe state, killing seven persons and injuring 28 others.[14]","Boko Haram","Boko Haram insurgency"
"2","Shooting","1 (+12)","3","Bijapur district, India","Twelve Naxalites and a constable of the elite commando force Greyhounds were killed in an encounter in the forests of Chhattisgarh’s Bijapur district. Three others were injured in the incident.[15][16]","CPI","Naxalite–Maoist insurgency"
"2","Suicide car bombing, bombing","11 (+1)","Several","Afgooye District, Somalia","A suicide bomber rammed his explosives-laden minibus into a military camp in Afgooye, a district in Lower Shabelle region, killing at least 5 Somali soldiers and wounding several others. Six other government soldiers died after a remote-controlled landmine targeted a convoy carrying injured soldiers from Afgooye to Mogadishu.[17][18]","Al-Shabaab","Somali Civil War"
"2","Bombing, shooting","3","11","Jowhar District, Somalia","At least three Burundian soldiers of the African Union Mission to Somalia were killed in an Al-Shabaab attack near Jowhar, Somalia. Seven others were injured, four were missing, and one armoured vehicle and four trucks were damaged during the attack.[19]","Al-Shabaab","Somali Civil War"
"3","Stabbing","0","1","Sylhet, Bangladesh","One of Bangladesh's best writers, Muhammed Zafar Iqbal, was stabbed in the back of the head during a seminar in the city of Sylhet.[20][21][22]","Islamist","Terrorism in Bangladesh"
"3","Bombing","2","0","Caldono, Colombia","Two policemen were killed in an attack with explosives on the road from Caldono to Siberia in the department of Cauca.[23]","ELN","Colombian conflict"
"3","Shooting, stabbing","7","0","Beni Territory, Democratic Republic of Congo","Six people were shot dead and another was stabbed to death in a raid by Ugandan Islamist rebels in the village of Eringeti in Democratic Republic of Congo's North Kivu province.[24]","Allied Democratic Forces","Allied Democratic Forces insurgency"
"4","Vehicular attack","0","4 (+1)","Acre, Israel","Two soldiers, a border guard and a civilian were lightly injured in a car-ramming attack in the northern Israeli city of Acre. The driver of the car was shot multiple times and critically wounded.[25][26]","Palestinian nationalist","Israeli–Palestinian conflict"
"4","Shooting","1","0","Quetta, Pakistan","A Shia Muslim youth was killed in an attack by Islamic State terrorists in Quetta, provincial capital city of Balochistan province.[27]","Islamic State","War in North-West Pakistan"
"5","Shooting, arson","1","0","Sukma district, India","Naxalites torched several vehicles and killed a former cop in Sukma district of south Chhattisgarh.[28]","CPI","Naxalite–Maoist insurgency"
"5","Shooting","4","0","Mosul, Iraq","Four security men, including a captain, were killed in a shooting with Islamic State militants in Mosul City.[29]","Islamic State","Iraqi insurgency"
"5","Bombing","0","2","Gadchiroli district, India","Two officers engagaed anti-insurgency operation were injured for the blast of an improvised explosive device in the district of Gadchiroli.[30]","CPI","Naxalite-Maoist insurgency"
"5","Bombing","0","3","Ar-Rutbah, Iraq","A landmine exploded after a military vehicle carrying border guards hit it in Ar-Rutbah town in western Anbar province. Three people were injured as a result of the explosion.[31]","Islamic State","Iraqi insurgency"
"5","Bombings","1","5","Al Anbar Governorate, Iraq","One policeman was killed and three others were wounded in a bomb attack on their vehicle in the western Anbar province. Another bomb exploded near the borders between Iraq and Saudi Arabia, leaving two personnel wounded.[32][33]","Islamic State","Iraqi insurgency"
"5","Stabbing","2","0","Mafa, Nigeria","Insurgents attacked two farmers on their farm and slit their throats in the village of Gudda in Mafa Local Government Area of Borno state.[34]","Boko Haram (suspected)","Boko Haram insurgency"
"5","Shooting","3","0","Borno State, Nigeria","A team of loggers were attacked by Boko Haram while on their way to the bush to collect firewood in the state of Borno. Three loggers were killed in the attack, while the rest fled to Dikwa and left behind a pickup van.[35]","Boko Haram","Boko Haram insurgency"
"5","Shooting","1","0","Noney district, India","A rifleman of 13 Sikh Light Infantry was killed in an encounter with the National Socialist Council of Nagaland at Khoupum area in Manipur's Noney district.[36]","National Socialist Council of Nagaland","Nagaland conflict"
"5","Suicide Bombing","3 (+1)","18","Maiduguri, Nigeria","A suicide bomber on a bicycle killed three people when he detonated his explosives on the outskirts of the northeast Nigerian city of Maiduguri.[37]","Boko Haram","Boko Haram insurgency"
"5","Arsons","0","0","Athens and Thessaloniki, Greece","A number of attacks across the country were claimed  for a group identified only as 'Anarchists' in an online statement. The group threatened further attacks in the capital Athens.[38]","Anarchist","Terrorism in Greece"
"5-6","Shootings, kidnappings, arson","20","15","Beni Territory, Democratic Republic of Congo","Twenty people people were killed in several attacks in the province of North Kivu in the Democratic Republic of Congo. More than 15 others were reported missing after the attacks and probably kidnapped by the attackers.[39][40]","Allied Democratic Forces","Allied Democratic Forces insurgency"
