"date","type","dead","injured","location","details","perpetrator","partOf"
"1","Bombing","2","1","Pol-e Alam, Afghanistan","Two people were killed and a third injured when a roadside bomb hit a civilian vehicle in the capital of the central Logar province in Afghanistan.[1]","Taliban","War in Afghanistan"
"1","Grenade attack, shooting","26","170","Bangui, Central African Republic","Gunmen equipped with grenades attacked the Notre-Dame de Fatima church in Bangui, the capital of the Central African Republic, during mass, killing 26 people, including a priest, and injuring 170 others.[2][3][4][5]","Séléka (suspected)","Central African Republic Civil War"
"1","Executions","17","0","Ménaka Region, Mali","Extremists linked to the Islamic state group killed at least 17 people, including elderly persons, who were burned alive in their homes, in Tindinbawen and Taylalene in the Ménaka region of Mali.[6][7]","Islamic State","Northern Mali conflict"
"1","Suicide bombings","86 (+2)","58","Mubi, Nigeria","2018 Mubi suicide bombings: At least 86 people were killed in two suicide attacks at a mosque and a market in Mubi, a town in the state of Adamawa in northeastern Nigeria. 58 others were injured in the bombings.[8][9]","Boko Haram","Boko Haram insurgency"
"1","Stabbing","0 (+1)","3","Neftekumsk, Russia","In the Russian city of Neftekumsk, a man attacked two police officers with a knife. As a result, both law enforcement officers were injured. During the arrest, the man resisted and stabbed one of the policemen, after which a policeman shot him dead.[10][11]","Islamic State","Islamic terrorism in Europe"
"1","Bombing","2","1","San José del Guaviare, Colombia","Two Colombian marines were killed and one was injured when militants detonated an improvised explosive device in the municipality of San José del Guaviare, Guaviare Department.[12]","FARC dissidents","Colombian conflict"
"1","Shooting","1","0","Mogadishu, Somalia","A United Nations World Health Organization worker was shot dead in Somalia's capital Mogadishu.[13]","Al-Shabaab","Somali Civil War"
"1","Shooting","21","13","Al Tarmia, Iraq","Islamic state militants dressed in Iraqi military uniforms attacked Al Tarmia north of Baghdad, killing 21 members of a local tribe that was a vocal opponent of the extremists and injuring 13 others.[14]","Islamic State","Iraqi insurgency"
"2","Arson, shooting","0","0","Barsalogho Department, Burkina Faso","Eight armed men attacked the village of Bafina in the department of Barsalogho in the province of Sanmatenga in Burkina Faso. Four of them burned down a principal's house. The rest of the group went to a neighbouring village, where they shot up in the air and burned the headquarters of a self-defense group and a liquor store.[15][16]","Al-Qaeda in the Islamic Maghreb (suspected)","Insurgency in the Maghreb"
"2","Shooting","2","0","Gariaband district, India","Two policemen were killed when an improvised explosive device detonated in the forest of Amamora in Gariaband district, Chhattisgarh.[17]","CPI","Naxalite-Maoist insurgency"
"2","Arson","0","0","Shopian district, India","Terrorists hurled a petrol bomb at a lawmaker's residence in Jammu and Kashmir's Shopian district. No casualties were reported.[18]","Jaish-e-Mohammed (suspected)","Insurgency in Jammu and Kashmir"
"2","Arson, assassination","1","0","Ranchi district, India","A Pentecostal pastor was beheaded and his car was bienes near the district of Ranchi, Jharkhand. In a canvas militants accused to be a government informer.[19][20]","PLGA","Naxalite-Maoist insurgency"
"2","Bombing, car bombing","5","7","Diyala Governorate, Iraq","An explosive device placed under a car went off, killing a man and his two sisters in the Diyala province in Iraq. In other incident in Jalawla Islamic state militants attacked the Iraqi police in the town of Jalawla, resulting in at least two deaths and seven injuries among police ranks.[21][22]","Islamic State","Iraqi insurgency"
"2","Bombing","1","0","Dibis District, Iraq","A civilian was killed in a bomb explosion in the Dibis district of Kirkuk province in Iraq.[23]","Islamic State","Iraqi insurgency"
"2","Shooting, arson, suicide bombings","16 (+2)","20","Tripoli, Libya","2018 attack on the High National Elections Commission in Tripoli, Libya: Suicide bombers attacked the head offices of Libya's electoral commission in Tripoli, killing at least 16 people, injuring 20 and setting fire to the building.[24][25]","Islamic State","Libyan Civil War"
"2","Bombing","0","0","Safi Tehsil, Pakistan","A roadside bomb exploded, but did not cause any casualties in the Safi tehsil of Mohmand Agency in Pakistan.[26][27]","Jamaat-ul-Ahrar","War in North-West Pakistan"
"2","Bombing","3","7","Al-Hasakah, Syria","A landmine placed by Islamic state militants killed three children and injured seven more in the south of Al-Hasakah near a garbage dump.[28]","Islamic State","Syrian Civil War"
"2","Shooting, arson","0","0","Konduga, Nigeria","Boko Haram militants attacked the village of Auno in the Konduga local government area. No life was lost, but a vehicle was burned by the terrorists.[29]","Boko Haram","Boko Haram insurgency"
"2","Assassination, melee attack","2","0","Kasai-Central, Democratic Republic of Congo","Three inspectors of primary and secondary education were beheaded by militants belonging to Kamuina Nsapu when they went to take a school test in the town of Kazumba, Kasai-Central.[30]","Kamwina Nsapu","Kamwina Nsapu rebellion"
"2","Shooting","3","0","Mbonge, Cameroon","Three Cameroonian soldiers were killed in an attack on a military base in the town of Mbonge, Southwest Region.[31]","Ambazonia Defence Forces","Anglophone crisis"
"3","Kidnapping","0","1","Tongomayel Department, Burkina Faso","Terrorists kidnapped a Red Cross employee near Béléhédé in the department of Tongomayel in the province of Soum in Burkina Faso.[32]","Al-Qaeda in the Islamic Maghreb","Insurgency in the Maghreb"
"3","Arson, shooting","1","0","Mayo-Sava, Cameroon","At least twenty huts were set on fire and a man was killed in the Mayo-Sava department in the Far North region of Cameroon.[33]","Boko Haram","Boko Haram insurgency"
"3","Bombing","0","3","Jani Khel, Pakistan","Three security personnel were injured in a bomb explosion in the Jani Khel area of Bannu district in Khyber Pakhtunkhwa province.[34][35]","Jamaat-ul-Ahrar","War in North-West Pakistan"
"3","Shooting, suicide bombing","2 (+1)","18","Attock, Pakistan","At least two people were killed and 18 injured, some of them seriously, in an attack on a vehicle carrying civilian employees of a security agency in Attock.[36][37][38]","Jamaat-ul-Ahrar","War in North-West Pakistan"
"3","Car bombing","6","8","Al-Dana, Syria","Six people were killed and eight others injured in a car bomb explosion in the town of Al-Dana in the northwestern province of Idlib in Syria.[39][40]","Tahrir al-Sham","Syrian Civil War"
"3","Shooting, stabbing","4","2","Mandera County, Kenya","Four miners were killed and two others injured by Al-Shabaab militants in a quarry in Shimbir Fatuma in the Nigerian county of Mandera.[41][42]","Al-Shabaab","Spillover of the war in Somalia"
"3","Suicide bombings","4 (+4)","9","Konduga, Nigeria","At least four people were killed and nine others injured when four suicide bombers attacked Mainari Shuwa and neighbouring Mainari Kanuri in the Konduga local government area of Borno state.[43]","Boko Haram","Boko Haram insurgency"
"4","Shooting","6","1","Kharan District, Pakistan","Six labourers were killed and one injured in a shooting in Balochistan's Kharan district.[44][45]","United Baloch Army and Baloch Republican Army","Insurgency in Balochistan"
"4","Shooting","0 (+2)","0","Nevinnomyssk, Russia","Two Islamist rebels were killed during an encounter against officers of the FSB in the city of Nevinnomyssk, Stavropol Krai.[46]","Wilayah al-Qawqaz (suspected)","Insurgency in the North Caucasus"
"4","Bombings, arson","0","0","Narathiwat Province, Yala Province and Pattani Province, Thailand","Insurgents bombed power poles and set tyres and communication towers on fire in the provinces of Narathiwat, Yala and Pattani in Thailand.[47][48]","Barisan Revolusi Nasional (suspected)","South Thailand insurgency"
"4","Grenade attack","0","0","Pulwama, India","Terrorists hurled a grenade at a police station in Pulwama, Jammu and Kashmir. The grenade exploded outside the police station and no one was injured in the incident.[49]","Jaish-e-Mohammed (suspected)","Insurgency in Jammu and Kashmir"
"4","Shooting","1","1","Sopore, India","A 35-year-old man was killed and his wife seriously injured after militants broke into his house in Sopore and opened fire.[50]","Lashkar-e-Taiba","Insurgency in Jammu and Kashmir"
"4","Shooting, grenade attack","1 (+1)","0","Tinsukia district, India","A police officer and a terrorist died in a shooting and grenade attack in Tinsukia district in the Indian state of Assam.[51]","United Liberation Front of Assam","Assam separatist movements"
"4","Shooting","0 (+1)","3","Nizhny Novgorod, Russia","A man started shooting at police officers during a document check in Nizhny Novgorod in Russia, the attacker was killed and three police officers were injured.[52][53]","Islamic State","Islamic terrorism in Europe"
"4","Ambush","3","2","Darayim District, Afghanistan","At least three members of a pro-government local militia were killed and two others injured in an ambush by Taliban fighters in the Darayim district of Badakhshan province in northern Afghanistan.[54]","Taliban","War in Afghanistan"
"5","Shooting","1","1","Ra-ngae District, Thailand","A wild-plant collector was shot dead and his companion wounded in an attack by two armed men in Ra-ngae district of Narathiwat province in Thailand.[55]","Barisan Revolusi Nasional (suspected)","South Thailand insurgency"
"5","Assassination","1","0","Gadchiroli district, India","Militants shot dead shot dead a 45-year-old man in Horekasa village, Gadchiroli district. The man was accused to be a police informer.[56]","PLGA","Naxalite-Maoist insurgency"
"5","Shooting","1","4","South Upi, Philippines","One humanitarian worker was killed and four injured when militants ambushed them near the town of South Upi, Maguindanao, Philippines.[57]","Abu Sayyaf (suspected)","Moro conflict"
"5","Suicide car bombing","2 (+1)","3","Bala Deh, Afghanistan","A suicide car bombing killed two people and injured three others, including a district chief, in Bala Deh in the Gardez district in the Afghan province of Paktia.[58][59]","Taliban","War in Afghanistan"
