"date","type","dead","injured","location","details","perpetrator","partOf"
"1","Suicide bombing","6 (+1)","2","Mayo-Tsanaga, Cameroon","Six people were killed and two wounded by a Boko Haram suicide attack on a mosque in the village of Zamga.[1]","Boko Haram","Boko Haram insurgency"
"1","Stabbing","1","1","Tunis, Tunisia","A suspected Islamist stabbed two policemen with a knife near Tunisia's parliament, killing one and injuring the other.[2][3]","Lone wolf","Insurgency in the Maghreb"
"1","Bombing","15","27","Charikar, Afghanistan","15 people were killed and 27 others were injured after an explosion near two tankers and a bus in the town of Charikar.[4]","Taliban (suspected)","Afghanistan War"
"1","Bombing","9","0","Mosul, Iraq","Nine Iraqis were killed by the explosion of bombs left over in their homes in western Mosul by Islamic State terrorists.[5]","Islamic State","Iraqi Civil War"
"1","Shooting","0","6","Anantnag, India","At least six CRPF militiamen were wounded in an ambush[6]","Jaish-e-Mohammed (suspected)","Insurgency in Jammu and Kashmir"
"2","Shooting","2 (+1)","1","Pulwama district, India","A Hizbul Mujahideen militant and two Indian Army soldiers were killed while one CRPF personnel was injured Samboora, Pulwama district.[7]","Hizbul Mujahideen","Insurgency in Jammu and Kashmir"
"3","Bombing","0","3","Ghazni province, Afghanistan","Two policemen and a girl were wounded in a roadside bombing in the province on Ghazni.[8]","Taliban (suspected)","War in Afghanistan (2001–present)"
"3","Suicide car bombing","9 (+1)","23","Hader, Syria","A suicide car bombing killed nine and injured 27 others in a government-held village in Syria's Quneitra Governorate.[9]","Tahrir al-Sham","Syrian Civil War"
"3","Mortar attack","3","3","Diyala, Iraq","Three policemen were killed and three others were wounded after an Islamic State mortar attack.[10]","Islamic State","Iraqi Civil War"
"3","Shooting","8","Unknown","Chaldoran, Iran","Eight border guards died in an attack in the province of Western Azerbaijan, in northwest Iran. It is believed that the terrorist group PJAK is behind the attack because it operates in the region.[11][12]","PJAK","Western Iran clashes"
"4","Bombing","1","4","Anbar, Iraq","An Iraqi army commander was killed and four others were injured in an Islamic State bomb blast.[13]","Islamic State","Iraqi Civil War"
"4","Mortar attack","2","Several","Damascus, Syria","Two citizens were killed and several others were injured when three mortar shells hit the Syrian capital.[14]","Tahrir al-Sham (suspected)","Syrian Civil War"
"4","Suicide car bombing","100+","140","Deir ez-Zor Governorate, Syria","At least 100 civilians were killed and 140 others were wounded in a Daesh car bombing that struck a gathering of people displaced by fighting in eastern Syria.[15][16]","Islamic State","Syrian Civil War"
"5","Bombing, shooting","6","6","Mosul, Iraq","Six persons, including security personnel were killed, while six others were wounded in armed attack, bomb blasts in Mosul.[17]","Islamic State (suspected)","Iraqi Civil War"
"5","Suicide car bombing, Shooting","15 (+1)","20","Aden, Yemen","At least fifteen people were killed and twenty others injured in a suicide car bombing and shooting in Aden.[18][19]","Islamic State","Yemeni Civil War"
"5","Shooting","1 (+2)","0","Nazran, Russia","One police officer was killed and also two attackers in a shooting during a police control. One of the attackers tried to make a suicide attack but he was shot dead by the security forces.[20]","Imam Shamil Battalion (suspected)","Insurgency in the North Caucasus"
