"date","type","dead","injured","location","details","perpetrator","partOf"
"1","Suicide car bombing","2 (+1)","5","Mogadishu, Somalia","A suicide car bomber by the group Al-Shabaab struck an EU convoy carrying Italian soldiers in Somalia's capital Mogadishu, killing 2 civilians and injuring at least 5.[1][2]","Al-Shabaab","Somali Civil War"
"1","Shooting","3","4","Bosaso, Somalia","Islamic state attackers shot dead 3 Ethiopians and injured 4 in Bosaso town; the attackers fled the scene.[3][4]","Islamic State","Somali Civil War"
"1","Bombing","1","2","Kirkuk Governorate, Iraq","A bomb attack by Islamic State insurgents left an Iraqi Policeman dead and as well as 2 others injured in the oil rich province of Kirkuk, Iraq.[5]","Islamic State","Iraqi insurgency"
"1","Bombing","0","0","Hawija, Iraq","A group of Islamic State insurgents placed bombs and detonated them on an electricity pylon in Hawija district in Kirkuk, leaving Iraq's Hawija district in total darkness.[6]","Islamic State","Iraqi insurgency"
"1","Arson","0","0 (+1)","Lautaro, Chile","At least nine vehicles were burned during an arson attack and later gunfight leaving a militant injured. The incident took place in Fundo Oyama of the La Colonia sector, in Lautaro.[7]","Coordinadora Arauco Malleco (suspected)","Mapuche conflict"
"1","Bombing","1","4","Baghdad, Iraq","Two sticky bombs detonated in a Baghdad neighborhood killing a person and leaving four others injured while destroying two vehicles.[8]","Islamic State","Iraqi insurgency"
"2","Suicide bombing","14 (+1)","40","Kama District, Afghanistan","A suicide bomber killed 14 people and injured around 40 at an election rally in the Kama district of the Nangarhar Province. The Islamic State claimed responsibility through Amaq.[9][10]","Islamic State","War in Afghanistan"
"2","Shooting, bombing","3","8","Awaran District, Pakistan","Terrorists opened fire and bombed a convoy killing 3 Pakistani Security personnel and injuring 8 more at the Awaran District of Balochistan, Pakistan. No group has claimed responsibility although separatist groups have done similar attacks in that area in the past.[11][12]","Balochistan Liberation Army (suspected)","Insurgency in Balochistan"
"2","Shooting","9 (+4)","10","Nimruz Province, Kandahar Province and Faryab Province, Afghanistan","A series of violent attacks by the Taliban targeting security forces checkpoints at the Nimruz Province, Kandahar Province and the Faryab Province, left 9 security forces dead and 10 injured, while at least 4 Taliban militants were killed in the fighting.[13]","Taliban","War in Afghanistan"
"2","Arson","0","0","Ercilla, Chile","A children's garden and nursery were burned during an attack in the commune of Ercilla, La Araucania Region.[14]","Mapuche militants","Mapuche conflict"
"3","Kidnapping","0","1 Kidnapped","Sukma district, India","An 12 years-old was reportedly abducted in Sukma district. A search operation has been launched to trace the student.[15]","CPI","Naxalite–Maoist insurgency"
"3","Bombing","1","0","Nad Ali District, Afghanistan","A district chief of Afghan intelligence service the National Directorate of Security (NDS) in Nadi Ali of Helmand province was killed when an IED exploded, the Taliban claimed responsibility.[16]","Taliban","War in Afghanistan"
"3","Bombing","2","5","Jebel ech Chambi, Tunisia","A IED detonation struck an armored vehicle killing 2 soldiers and injuring 5 at Mount Chaambi of Tunisia, an Al-Qaeda wing in Tunisia claimed responsibility for the attack.[17][18][19]","Katibat Uqbah Ibn Nafi","Insurgency in the Maghreb"
"4","Arson","0","0","Carahue, Chile","Four Forestal Machinery were burned during an attack in La Esperanza Dos farm, located in the Alto Loncoyamo sector in the commune of Carahue.In the cite of the attack were found papers with a letter saying mapuche claims.[20]","Coordinadora Arauco Malleco","Mapuche conflict"
"4","Motorcycle bombing","0","8","Corinto, Colombia","A motorcycle bomb detonated in Corinto, Cauca, leaving eight civilians injured. Members of the FARC dissidents are suspected to be behind the attack.[21][22]","FARC dissidents (suspected)","Colombian conflict"
"4","Shooting","2","0","Thung Yang Daeng District, Thailand","A Buddhist mother and her son were shot dead by insurgents at the Thung Yang Daeng District of South Thailand's Pattani.[23]","Barisan Revolusi Nasional","South Thailand Insurgency"
"4","Bombing","6","1","Komondjari Province, Burkina Faso","An IED detonation struck a military vehicle, killing six and leaving one severely injured. The attack occurred near a village at the Komondjari Province of Burkina Faso.[24][25]","Al-Qaeda in the Islamic Maghreb","Insurgency in the Maghreb"
"4","Shooting","19","4","Plateau State, Nigeria","19 people were killed and 4 were seriously injured when gunmen belonging to Fulani Herdsmen attacked a community in the Plateau State, Nigeria.[26]","Fulani herdsmen","Communal conflicts in Nigeria"
"4","Bombing","2","9","Nangarhar Province, Afghanistan","A bomb blast at an office of the U.S. Agency for International Development (USAID), killed 2 and injured 9 in Afghanistan's Nangarhar Province, the Islamic State claimed responsibility for the attack.[27]","Islamic State","War in Afghanistan"
"4","Shooting","6","0","Beni, Democratic Republic of the Congo","ADF militants attacked an army outpost in Beni, Democratic Republic of Congo killing at least 6 people.[28]","Allied Democratic Forces","Allied Democratic Forces insurgency"
"4","Bombing","8","2","Batman Province, Turkey","A bomb placed by PKK insurgents killed at least 8 soldiers and wounded an additional 2. The attack took place in Turkey's Batman Province.[29]","PKK","Kurdish–Turkish conflict"
"5","Shooting","2","1","Srinagar, India","Terrorists  opened fire and killed two activists affiliated with a pro-India Kashmiri political group, in Srinagar, Jammu and Kashmir, India, no group has claimed responsibility yet for this attack.[30][31]","Lashkar-e-Taiba (suspected)","Insurgency in Jammu and Kashmir"
"5","Shooting","3","0","Kafr Halab, Syria","Hay'at Tahrir al Sham terrorists shot dead at least 3 civilians including 2 girls in the Kafr Halab village of the Aleppo Governorate, Syria.[32]","Tahrir al-Sham","Syrian Civil War"
"5","Bombing","1","0","Helmand Province, Afghanistan","A U.S soldier James A. Slape (23 years-old) succumbed to his wounds from an explosion days before.[33]","Taliban (suspected)","War in Afghanistan"
"5","Mortar attack","1","12","Al Hudaydah, Yemen","Houthi militants launched mortars at a displaced persons camp near Al Hudaydah, killing a person and injuring at least 12 people.[34][35]","Ansar Allah","Yemeni Civil War"
