"date","type","dead","injured","location","details","perpetrator","partOf"
"1","Bombing","12","10","Af Urur Puntland, Somalia","An Al-Shabaab bomb exploded near a market in Puntland region, in the city of Af Uhur. At least 12 people were killed, including five Somalian soldiers.[1]","Al-Shabaab","War in Somalia"
"1","Ambush","1","7","Srinagar district, India","One policeman was killed and seven others were injured after terrorists ambushed a police party in Pantha Chowk area of Jammu and Kashmir's Srinagar district.[2]","Lashkar-e-Taiba","Insurgency in Jammu and Kashmir"
"1","Bombing","3","2","Mohmand Agency, Pakistan","Three men, including an anti-Taliban tribal elder, were killed while two others injured when a roadside bomb went off in the Anbar tehsil of Mohmand Agency.[3]","Jamaat-ul-Ahrar","War in North-West Pakistan"
"1","Ambush","2","0","Gossi, Mali","Gunmen ambushed a truck transporting supplies for the UN MINUSMA mission in Mali, killing two people.[4]","Al-Qaeda in the Islamic Maghreb","Insurgency in the Maghreb (2002–present)"
"2","Suicide bombings","7 (+3)","12","Samarra, Iraq","Suicide bombers killed seven people and wounded 12 in an attack on a power plant north of Baghdad.[5]","Islamic State","Iraqi Civil War"
"2","Shooting","2 (+1)","4","Karachi, Pakistan","Militant gunmen killed a 10-year-old boy, a guard and wounded 4 others when they fired at politician Khawaja Izharul Hassan in Karachi.[6][7]","Al-Qaeda (suspected)","Terrorism in Pakistan"
"2","Shooting","0","0","Norte de Santander, Colombia","A shootout was recorded in the Catatumbo region in northern Santander between military units and members of the Popular Liberation Army, the events were presented at a time when a UN commission would come to take a cove of the FARC.[8]","Popular Liberation Army","Colombian conflict"
"2","Bombing","0","4","Baghdad Governorate, Iraq","Three people were wounded when a bomb blast hit an area in southeastern Baghdad.[9]","Islamic State (suspected)","Iraqi Civil War"
"3","Suicide attacks, shooting","22 (+20)","24","Kismayo, Somalia","Al Shabaab attacked a military base of Somali National Army with suicide car bombs with fighting erupting later. 20 militants and at least 22 soldiers were killed.[10][11]","Al-Shabaab","War in Somalia"
"3","Shooting","2","0","Ukunda, Kenya","Two police officers guarding a church in Ukunda died after being shot with Al-Shabaab militants suspected to be behind it.[12]","Al-Shabaab (suspected)","Spillover of the war in Somalia"
"3","Mortar attack","1","0","Çukurca, Turkey","A Turkish soldier was killed in a rocket attack by PKK in Çukurca.[13]","PKK","Kurdish–Turkish conflict"
"3","Stabbing","11","3","Borno State, Nigeria","Boko Haram insurgents attacked an IDP camp in Borno State, killing eleven people and injuring three persons while also kidnaping four before fleeing. The attackers used swords and sharp knives to carry out the acts.[14]","Boko Haram","Boko Haram insurgency"
"3","Bombing","0","1","Babil Governorate, Iraq","A bomb, placed on the side of the road in Hor Rajab region, south of Baghdad, exploded on Sunday, causing injury of a civilian who was passing when the explosion took place.[15]","Islamic State (suspected)","Iraqi Civil War"
"4","Bombing","2","Unknown","Mogadishu, Somalia","At least two civilians were killed while several others were wounded in a bomb blast that occurred in the outskirts of Mogadishu.[16]","Al-Shabaab (suspected)","War in Somalia"
"4","Bombing","0","6","Baghdad, Iraq","Six civilians were wounded in an IED blast in southwestern Baghdad.[17]","Islamic State (suspected)","Iraqi Civil War"
"4","Bombing","0","4","Qazigund, India","Four CRPF men were wounded in a grenade attack in Qazigund market. Lashkar-e-Taiba claimed responsibility.[18]","Lashkar-e-Taiba (suspected)","Insurgency in Jammu and Kashmir"
"4","Shooting","3","3","Balochistan, Pakistan","At least three security personnel including an army officer were killed and three others wounded in a terrorist attack in the restive southwestern Balochistan province.[19]","Tehrik-i-Taliban Pakistan (suspected)","Insurgency in Balochistan"
"4","Arson","0","0","Temuco, Chile","In the outskirts of Temuco, in Forest Mininco estate, two trucks and five forest machinery were burned were burned by at least four attackers armed with shotguns.[20][21]","Coordinadora Arauco Malleco (suspected)","Mapuche conflict"
"5","Bombings","1","5","Baghdad, Iraq","Six persons were killed and injured in two blasts in north and west of Baghdad.[22]","Islamic State","Iraqi Civil War"
"5","Bombing","0","10","Nineveh Governorate, Iraq","Ten Kurdish Peshmerga fighters were wounded in a roadside bomb blast west of Mosul.[23]","Islamic State","Iraqi Civil War"
"5","Assassination","1","0","Bangalore, India","hree unidentified men shot Gauri to death at her house in Rajarajeshwari Nagar, Bangalore. The men fired at least seven bullets at her at around 8 p.m. while she was unlocking the main door of her house after returning from her office. Police arrest fifteen suspects revealed who members of Sanatan Sansth was implicated in this and other murders.[24][25]","Sanatan Sanstha Militants","Terrorism in India"
"5","Bombing","2","2","Kidal, Mali","The United Nations mission in Mali says two peacekeepers have been killed and two others seriously injured when a convoy hit a mine in the northern Kidal region.[26]","Al-Qaeda in the Islamic Maghreb","Insurgency in the Maghreb"
"5","Shooting","4","0","Borno State, Nigeria","Boko Haram members killed four farmers in a drive-by shooting in Borno state in Nigeria's volatile northeast.[27]","Boko Haram","Boko Haram insurgency"
"5","Bombing","3","1","Najaf, Iraq","A Muslim cleric survived an assassination attempt, leaving him wounded in Najaf. Three of his companions were killed in the attack.[28]","Islamic State (suspected)","Iraqi Civil War"
"5","Assassination","1","0","Agusan del Norte, Philippines","A Lumad (Indigenous people) leader was shot dead by suspected members of the New People's Army (NPA) on Tuesday.[29]","New People's Army","CPP-NPA-NDF rebellion"
"6","Bombing, shooting","1","3","Saladin Governorate, Iraq","A soldier was killed, three others were wounded in an Islamic State attack launched against a security checkpoint in the south of Salahuddin.[30]","Islamic State","Iraqi Civil War"
"6","Beheadings","4","0","Lamu County, Kenya","Four people have been beheaded in two villages in Hindi, Lamu West by suspected Al-Shabaab militants.[31]","Al-Shabaab (suspected)","Spillover of the war in Somalia"
"6","Bombings","1","7","Baghdad Governorate, Iraq","One civilian was killed, seven others were wounded in two bomb blasts that occurred in north and south of Baghdad.[32]","Islamic State","Iraqi Civil War"
"6","Shooting","2","3","Hakkâri Province, Turkey","Two workers were killed and three others were injured on Wednesday after being targeted by PKK in Hakkâri Province.[33]","PKK","Kurdish–Turkish conflict"
"6","Suicide bombing","0 (+1)","6","Bagram Air Base, Afghanistan","Six, including an American were injured in a suicide bombing at Bagram Air Base.[34][35]","Taliban","War in Afghanistan"
"6","Shooting","3","0","Churcampa Province, Peru","At least three police were shot dead by suspected militants at approximately 6 p.m. in the province of Churcampa, Huancavelica region.[36][37]","Shining Path","Internal conflict in Peru"
"6-7","Shootings","8","0","Borno State, Nigeria","Boko Haram jihadists killed eight people in a series of raids on farming communities in northeast Nigeria.[38]","Boko Haram","Boko Haram insurgency"
"7","Bombings","1","6","Baghdad, Iraq","An explosive device placed next to commercial shops in Diyala Bridge region went off, wounding two people. Hours later another explosive device, placed near a grocer’s shop in Youssefiya, went off, killing one person and wounding four others.[39][40]","Islamic State","Iraqi Civil War"
"7","Shooting, Bombing","0","0","Durankaya, Turkey","PKK militants attacked the house of Durankaya's major with long automatic weapons, in Hakkâri Province. An explosion was also registered in the area. Turkish police are looking for the attackers. No injuries have been reported.[41]","PKK","Kurdish–Turkish conflict"
"7","Bombing","1","15","Srinagar, India","One person was killed while 15 others, including three policemen were seriously injured in a grenade attack by militants at Jahangir Chowk in Srinagar.[42]","Lashkar-e-Taiba (suspected)","Insurgency in Jammu and Kashmir"
"7","Shooting","5","3","Tegucigalpa, Honduras","Five people were killed and three others were injured in a shootout recorded at midnight in a residential Honduras, Tegucigalpa.[43]","Militants (suspected)","2009 Honduran constitutional crisis"
"8","Bombings","1","8","Baghdad, Iraq","Two blasts hit the south and the west of Baghdad, killing and injuring nine people. One of the bombs exploded in a market and the other blast targeted a police patrol.[44]","Islamic State","Iraqi Civil War"
"8","Shooting","1","1","Bingol, Turkey","One Turkish soldier was killed and another injured during an operation against PKK.[45]","PKK","Kurdish–Turkish conflict"
"8","Suicide bombing","6 (+1)","3","Baidoa, Somalia","At least six people were killed and three wounded when a suicide bomber attacked a busy restaurant in Somalia's southwestern city of Baidoa.[46]","Al-Shabaab","War in Somalia"
"8","Shooting","5","0","Logar Province, Afghanistan","An Afghan Local Police (ALP) personnel gunned down four comrades and a civilian in central Logar province.[47]","Taliban","War in Afghanistan"
"8","Suicide bombings","0 (+2)","8","Maiduguri, Nigeria","Two female suicide bombers died in Maiduguri while eight other commuters close to the explosions received various degrees of injuries.[48]","Boko Haram","Boko Haram insurgency"
"8","Shooting, bombing","7","Unknown","Ngala, Nigeria","At least seven people were killed when Boko Haram jihadists attacked a camp for people displaced by the conflict in northeast Nigeria.[49]","Boko Haram","Boko Haram insurgency"
"9","Shooting","19","5","Jos, Nigeria","The Plateau Police Command has confirmed 19 persons killed and five others injured in an attack on Ancha village, Bassa Local Government, on Friday. The state Commissioner of Police,said that preliminary investigation had indicated that the attack was carried out by Fulani gunmen.[50]","Fulani herdsmen","Communal conflicts in Nigeria"
"9","Shooting","1","0","Kapisa province, Afghanistan","The head of Kapisa Ulema Council, Gul Mohammad Hanifyar, was gunned down by a number of unknown gunmen in central Kapisa province.[51]","Taliban (suspected)","War in Afghanistan"
"9","Shooting","1","2","Anantnag, India","Militants attacked a police patrol near a bus stand at Anantnag in Jammu and Kashmir killing a policeman and injuring two other cops in the firing.[52]","Hizbul Mujahideen (suspected)","Insurgency in Jammu and Kashmir"
"9","Bombing","3","3","Baghdad, Iraq","Three civilians were killed, while three others were wounded in a bomb blast in eastern Baghdad.[53]","Islamic State","Iraqi Civil War"
"9","Shooting","1","1","Siirt Province, Turkey","Militants stormed a village in Turkey's southeastern Siirt province, killing a 65-year-old man.[54]","PKK","Kurdish–Turkish conflict"
"10","Suicide car bombing","0 (+1)","1","Diyarbakır Province, Turkey","A soldier was slightly wounded in a suicide attack in Turkey’s southeastern province of Diyarbakır.[55]","PKK","Kurdish–Turkish conflict"
"10","Suicide bombing","6 (+1)","20","Beledweyne, Somalia","At least six people were killed and more than 20 others were injured in a suicide bomb attack in central Somali town of Beledweyne.[56]","Al-Shabaab","War in Somalia"
"10","Bombing","1","5","Baghdad, Iraq","A civilian was killed, five others were wounded in a bomb blast that took place in southwest of Baghdad.[57]","Islamic State","Iraqi Civil War"
"10","Bombing","1","0","Ramadi, Iraq","An Iraqi soldier died while trying to deactivate an explosive device west of the city of Ramadi.[58]","Islamic State","Iraqi Civil War"
"10","Shooting","4","2","Kuchlak, Pakistan","Four people belonging to the Hazara community were killed and two others severely injured in an attack by armed men in the Kuchlak area.[59]","Lashkar-e-Jhangvi (suspected)","Sectarianism in Pakistan"
"11","Shooting","1","0","Balkh province, Afghanistan","A Spanish doctor has been killed during a shooting in a hospital in Mazar-e-Sharif, Balkh province.[60][61]","Taliban (suspected)","War in Afghanistan"
"11","Car bombing, Shooting","10 (+7)","23","Beled Hawa, Somalia","Al-Shabaab militants attacked a Somali military base and police station near the border with Kenya, killing ten soldiers. Additionally, a car bomb exploded in the base with gunmen later storming it.[62][63]","Al-Shabaab","War in Somalia"
